2024-10-11 15:33:57 INFO: Connecting to 149.154.167.51:443/TcpFull...
2024-10-11 15:33:59 INFO: Connection to 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Phone migrated to 4
2024-10-11 15:34:00 INFO: Reconnecting to new data center 4
2024-10-11 15:34:00 INFO: Disconnecting from 149.154.167.51:443/TcpFull...
2024-10-11 15:34:00 INFO: Disconnection from 149.154.167.51:443/TcpFull complete!
2024-10-11 15:34:00 INFO: Connecting to 149.154.167.92:443/TcpFull...
2024-10-11 15:44:31 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:33 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:40 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:50 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:44:55 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:07 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:10 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:18 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:22 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:25 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:30 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:48 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:45:56 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:01 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:05 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:10 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:46:58 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:47:26 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:47:28 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:47:44 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:00 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:11 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:15 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:21 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:26 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:29 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:34 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:37 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:42 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
2024-10-11 15:48:46 INFO: Starting direct file download in chunks of 131072 at 0, stride 131072
